code; name; state; owner; latitude; longitude; kind; size; difficulty; terrain; status; hidden_date; founds; not_founds; favourites; altitude
GCQYPP;Lenda da Imagem da Nossa Senhora do Carmo;BRAGA;ar-my;41.448333;-8.522;MULTI;SMALL;2;2.5;AVAILABLE;2005/10/13;222;10;15;188
GC16F1H;View to Madeira;ARQUIPELAGO DA MADEIRA;Alexpxo;33.029533;-16.3822;TRADITIONAL;SMALL;1.5;2.5;AVAILABLE;2007/10/06;417;3;20;156
GC11Y69;Falha do Louro [Palmela];SETUBAL;truta;38.560583;-8.925483;TRADITIONAL;REGULAR;3;3.5;AVAILABLE;2007/03/24;338;11;59;196
GCMR9D;BH12 Miradouro de Sao Pedro de Alcantara [Lisboa];LISBOA;prodrive;38.715183;-9.144133;TRADITIONAL;OTHER_SIZE;1;1;DISABLED;2005/03/03;2642;230;136;55
GCM6HK;The Wolf Trap (Vila Real);VILA REAL;zoom_bee;41.391117;-7.71955;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2004/12/01;142;2;13;833
GCQ3E2;Geiger Counter;GUARDA;afonso_loureiro;40.371283;-7.180067;MULTI;REGULAR;1;3;AVAILABLE;2005/08/10;57;4;4;-9999999
GCR9RW;Cantaro Magro;GUARDA;nat_cache;40.328033;-7.5991;TRADITIONAL;REGULAR;2;4.5;AVAILABLE;2005/11/05;249;7;79;-9999999
GCN0N2;Pe no Trilho [Batalha];LEIRIA;olharapo;39.635033;-8.758517;TRADITIONAL;REGULAR;2;3;AVAILABLE;2005/03/06;336;2;12;252
GCPCMB;Braga por um Canudo;BRAGA;Pedro_Alvares_Cabral ;41.553983;-8.381417;MULTI;REGULAR;2;3;AVAILABLE;2005/06/20;502;23;27;291
GCRYM3;Cantaro Gordo;GUARDA;nat_cache;40.336417;-7.591617;MULTI;REGULAR;3;5;AVAILABLE;2005/12/10;125;9;47;-9999999
GC15PP6;Railroad Station - Ponte de Sor {Projecto Geogare};PORTALEGRE;manelov;39.265483;-8.0129;TRADITIONAL;MICRO;2.5;1;AVAILABLE;2007/09/05;450;7;0;117
GC127CE;Baia do Seixal;SETUBAL;PPereira;38.639933;-9.105767;TRADITIONAL;SMALL;1.5;1;AVAILABLE;2007/04/16;964;19;5;5
GC10ZWG;Church of S.Lourenco [Almancil];FARO;Torgut;37.082083;-8.007983;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2007/02/20;971;12;7;33
GC1C89;A Praia e o Rio [Ericeira];LISBOA;btrodrigues;38.937;-9.413833;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2001/09/11;524;8;40;61
GCWKW2;Era uma vez... no Jardim da Alameda;FARO;rifkindsss;37.014317;-7.9261;TRADITIONAL;SMALL;2;1.5;AVAILABLE;2006/06/04;999;89;7;-9999999
GC15YPF;Capela do Calvario [Ferreira do Alentejo];BEJA;MightyReek;38.0616;-8.11745;MULTI;SMALL;1.5;1.5;AVAILABLE;2007/09/14;326;12;4;134
GC1778M;Palhota [Cartaxo];SANTAREM;FamiliaSilvestre;39.061983;-8.776917;MULTI;SMALL;1.5;1.5;AVAILABLE;2007/11/03;224;8;7;6
GCXGD6;La Raya - A Raia;BRAGANCA;Aliste;41.577083;-6.210167;MULTI;REGULAR;2;3.5;AVAILABLE;2006/08/04;35;6;10;762
GC16JE9;YACIN - Coa [Sabugal];GUARDA;HDV;40.277667;-6.865433;TRADITIONAL;LARGE;2;2.5;AVAILABLE;2007/10/10;78;1;6;1158
GC15NYZ;The Lagos 6+1: #7 - BONUS CACHE;FARO;Team Caracache;37.131467;-8.698133;PUZZLE;SMALL;3;1.5;AVAILABLE;2007/09/04;102;2;10;34
GC16F1A;OASIS;ARQUIPELAGO DA MADEIRA;Luis Pestana;32.742167;-16.685967;TRADITIONAL;SMALL;2.5;3.5;AVAILABLE;2007/10/06;1990;50;178;-9999999
GC11TK4;ALCOA PASSA ... POR ALCOBACA;LEIRIA;NSilva & Gorete;39.5369;-8.940917;MULTI;REGULAR;2;2.5;AVAILABLE;2007/03/31;178;10;5;63
GCJW6E;Cristo Rei [Almada];SETUBAL;btrodrigues;38.678433;-9.170417;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2004/07/03;1813;43;55;-9999999
GC1654H;Nobre Terra Hospitaleira [Mangualde];VISEU;cmatos;40.604833;-7.7592;PUZZLE;SMALL;2;1;DISABLED;2007/09/23;191;13;2;539
GCHRP5;Madrinha [Monchique];FARO;Torgut;37.309267;-8.611967;TRADITIONAL;REGULAR;3;2;AVAILABLE;2004/02/24;419;8;5;774
GCMD0V;A crianca que veio do passado [Leiria];LEIRIA;Baunilha & Chocolate;39.756517;-8.73405;TRADITIONAL;REGULAR;2;3;AVAILABLE;2005/01/01;389;19;11;-9999999
GCXQVQ;Minho Verde [Pte de Lima - pt+en]];VIANA DO CASTELO;caixeiros;41.689567;-8.5847;MULTI;SMALL;2.5;2.5;AVAILABLE;2006/08/15;60;6;0;239
GCVWZ4;A cache do Roger [Orion's Belt];LISBOA;RogerOliveira;38.758083;-9.481267;TRADITIONAL;REGULAR;1;3.5;AVAILABLE;2006/05/07;190;1;27;28
GC14JYA;Praia da Falesia [Vilamoura];FARO;prodrive;37.0787;-8.1395;TRADITIONAL;REGULAR;1;2;AVAILABLE;2007/07/23;1280;33;24;7
GCM9H1;Louzan;COIMBRA;maillart;40.073067;-8.244333;TRADITIONAL;SMALL;2;2.5;AVAILABLE;2004/12/16;131;13;6;-9999999
GCXTNF;Coracao Brigantino;BRAGANCA;dj green;41.79645;-6.751867;TRADITIONAL;SMALL;2;2.5;AVAILABLE;2006/08/19;403;12;5;-9999999
GCMA7E;Na Mouche;LISBOA;btrodrigues;38.792633;-9.091483;PUZZLE;REGULAR;3;1.5;AVAILABLE;2004/12/20;434;65;14;0
GC13JKY;Castelo de Alcanede [Santarem];SANTAREM;HDV;39.41705;-8.821267;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/06/11;435;4;5;116
GCR5C1;Sao Macario;VISEU;rifkindsss;40.8758;-8.061283;MULTI;REGULAR;2;2;AVAILABLE;2005/10/23;231;6;16;-9999999
GC15KMM;Barragem da Bouca;LEIRIA;salta-pocinhas;39.8549;-8.222967;TRADITIONAL;REGULAR;2;3;AVAILABLE;2007/09/02;128;4;4;-9999999
GC101DW;As Duas Torres [Minas Tirith];SETUBAL;almeidara;38.634217;-9.1865;MULTI;REGULAR;2.5;2.5;AVAILABLE;2007/01/01;193;25;8;49
GCX43C;Saint Claire [Barragem de Santa Clara];BEJA;CrisLuiz;37.53145;-8.440067;TRADITIONAL;SMALL;1.5;3.5;AVAILABLE;2006/07/12;66;2;9;125
GCXZY2;Toledo Spot;SETUBAL;pmateus21;38.479783;-8.9816;TRADITIONAL;REGULAR;2;3;AVAILABLE;2006/08/26;407;8;13;23
GC15DFN;TF-05 Alto da Cova da Velha;LEIRIA;trifaisca;39.560483;-8.808117;TRADITIONAL;REGULAR;2.5;3;AVAILABLE;2007/08/25;300;2;38;506
GC17AKM;Forte do Cavalo - Farois de Portugal;SETUBAL;PPereira;38.43465;-9.116317;TRADITIONAL;REGULAR;2;2.5;AVAILABLE;2007/11/10;849;15;1;8
GC1213C;O Ultimo Uivo;BRAGA;TheCelticSpirit;41.7424;-8.3525;TRADITIONAL;REGULAR;2;1.5;AVAILABLE;2007/04/08;89;0;3;672
GCZWE8;All roads lead to Rome;BRAGANCA;danieloliveira;41.7888;-6.89305;TRADITIONAL;REGULAR;2;2;AVAILABLE;2006/12/19;86;0;4;744
GCZ62Y;Linhas de Torres - Forte de Sao Vicente [T Vedras];LISBOA;vsergios;39.100483;-9.26625;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2006/11/03;698;22;11;-9999999
GC13JN5;Penedo de Pena Maior [Braganca];BRAGANCA;Bargao_Henriques;41.712433;-6.66445;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/06/09;32;0;3;654
GCMFRX;Cerro de S. Miguel [Moncarapacho];FARO;Torgut;37.10215;-7.83275;TRADITIONAL;REGULAR;2;2;AVAILABLE;2005/01/11;410;5;13;363
GCVVZH;Expedicao Scientifica a Serra da Estrella;GUARDA;Os Cacheiros Viajantes;40.348367;-7.619883;TRADITIONAL;REGULAR;2;2;AVAILABLE;2006/04/25;192;7;5;1838
GC15VRB;Moinho das Pernadas [Odeleite];FARO;NFreitas;37.34695;-7.468717;TRADITIONAL;MICRO;1.5;1;AVAILABLE;2007/09/10;149;3;7;17
GC1119W;Serra Sagrada de Grandola;SETUBAL;os_cinco_airados;38.16815;-8.585267;TRADITIONAL;SMALL;1;1.5;AVAILABLE;2007/02/19;251;2;4;139
GC11BZ3;Castelo de Abrantes;SANTAREM;Kitiara & Sal;39.46435;-8.194517;MULTI;REGULAR;2;1.5;AVAILABLE;2007/03/11;333;47;11;182
GC15WCE;Rappel na Ponte [Ponte de Sor];PORTALEGRE;fjpm777;39.299167;-7.964583;MULTI;REGULAR;3.5;5;AVAILABLE;2007/09/11;45;3;8;134
GCTAT9;Rotas Lusitanas - Cabeco das Fraguas;GUARDA;beirabaixa.net;40.4245;-7.222533;TRADITIONAL;REGULAR;3.5;4;AVAILABLE;2006/02/04;46;1;7;-9999999
GC15X3H;AsSeteColinas #2 - Sto. Andre;LISBOA;WIMM Team;38.716533;-9.1315;TRADITIONAL;OTHER_SIZE;2.5;1;AVAILABLE;2007/09/12;909;90;16;78
GCZCAW;eMula [Sintra];LISBOA;SUp3rFM & Cruella;38.765;-9.422833;PUZZLE;SMALL;3;2.5;AVAILABLE;2006/11/15;222;24;11;-9999999
GCN5HB;Stone Verses;LISBOA;Kelux;38.702467;-9.303517;TRADITIONAL;SMALL;2;2;AVAILABLE;2005/03/20;1226;41;34;77
GCG1YD;16 (silly name, isn't it?) [Loule];FARO;afonso_loureiro;37.158483;-8.0256;TRADITIONAL;MICRO;1.5;1;AVAILABLE;2003/05/05;510;8;2;291
GC12G4N;Ribeira da Meimoa - dos Lusitanos ao Rock;CASTELO BRANCO;Blue_Trekkers;40.226117;-7.188483;MULTI;SMALL;3;2;AVAILABLE;2007/04/28;93;7;0;475
GC11CPZ;#400 [Lisboa];LISBOA;B.O.D.A.;38.74385;-9.188017;MULTI;REGULAR;5;5;AVAILABLE;2007/03/11;251;9;82;93
GCNCBT;The Secret of St. John's Arganauts [Caminha];VIANA DO CASTELO;Os Cacheiros Viajantes;41.836517;-8.732983;TRADITIONAL;REGULAR;2.5;2;AVAILABLE;2005/04/03;265;8;19;439
GCRX74;Monte Abraao Stonehenge;LISBOA;Lopesco;38.768817;-9.264583;TRADITIONAL;SMALL;3;3;AVAILABLE;2006/01/07;311;16;4;-9999999
GCJDQ0;Alto da Boa Viagem [Caxias];LISBOA;btrodrigues;38.700917;-9.258333;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2004/05/10;734;61;6;-9999999
GC144NK;Santa Rita [Tavira];FARO;alieri;37.189433;-7.570967;MULTI;SMALL;1;2;AVAILABLE;2007/06/30;310;3;1;114
GC10Q5F;PROJECTO VG - MONTES ALTOS [ALQUEVA];EVORA;Portelada;38.316783;-7.390433;TRADITIONAL;MICRO;2;1.5;AVAILABLE;2007/02/02;90;1;0;169
GC14Y15;GT Friends Cache [Serra do Sintra] [Lisbon];LISBOA;golden-team;38.77625;-9.408417;TRADITIONAL;REGULAR;1;4.5;AVAILABLE;2007/08/05;280;18;73;409
GC144JJ;Senhora da Penha [Portalegre];PORTALEGRE;Saldanha Team;39.2976;-7.442383;TRADITIONAL;SMALL;1;2;AVAILABLE;2007/07/05;731;2;5;471
GC8C23;Picture your Flag [Lisboa];LISBOA;ricardobsilva;38.7675;-9.0941;VIRTUAL;VIRTUAL;1;1;AVAILABLE;2002/09/09;3821;1;144;0
GC167C2;Ermidas-Sado [Santiago do Cacem];SETUBAL;MightyReek;38.002817;-8.414183;MULTI;SMALL;2;2;AVAILABLE;2007/09/25;95;19;5;-9999999
GCF508;Far away, so close;CASTELO BRANCO;GreenShades;39.644917;-7.68785;TRADITIONAL;REGULAR;2;4;AVAILABLE;2003/04/06;206;21;71;165
GCTYTF;Dress Code [Lisboa];LISBOA;B.O.D.A.;38.775417;-9.1643;MULTI;SMALL;2;1.5;AVAILABLE;2006/03/19;263;13;53;69
GCGGC1;Historical Villages - Castelo Novo;CASTELO BRANCO;MAntunes;40.0778;-7.496383;TRADITIONAL;REGULAR;2;1.5;AVAILABLE;2003/07/20;526;9;34;632
GC13HFZ;Vassouras de raposa;SANTAREM;juquinha;39.508683;-8.029917;TRADITIONAL;REGULAR;1;2;AVAILABLE;2007/06/10;130;0;0;-9999999
GCT5Z4;Maunca;LEIRIA;SERGIO CRUZ;39.672417;-8.758883;TRADITIONAL;REGULAR;1;4.5;AVAILABLE;2006/01/25;226;11;7;404
GCWJ4A;PROJECTO VG - PATAIAS - [Alcobaca];LEIRIA;viperunderground;39.687167;-9.002333;TRADITIONAL;SMALL;1.5;3;AVAILABLE;2006/06/12;257;8;4;-9999999
GCGP33;Stairway to...;VISEU;jppina;40.612;-7.746033;TRADITIONAL;REGULAR;2;2;AVAILABLE;2003/08/18;583;16;3;564
GCP750;Fontes da Machada;SETUBAL;LuckyRed;38.621217;-9.040017;MULTI;REGULAR;3;3;AVAILABLE;2005/06/05;233;41;14;30
GCXFPA;Escada do Ceu;ARQUIPELAGO DOS ACORES;pattertwig;39.455033;-31.25225;TRADITIONAL;SMALL;2;3.5;AVAILABLE;2006/07/28;90;2;17;-9999999
GC11VE3;na Paz do Parque (again) [parque da paz #1];SETUBAL;bolacha;38.663317;-9.167383;TRADITIONAL;REGULAR;2.5;2;AVAILABLE;2007/04/01;813;94;8;25
GCRH8W;A walk in the Park [Lisboa];LISBOA;Felinos;38.728767;-9.152033;MULTI;SMALL;2;1.5;DISABLED;2005/12/02;1076;83;24;73
GCYVR7;Miradouros [Vouzela, Viseu];VISEU;almeidara;40.71565;-8.129633;MULTI;REGULAR;1.5;1.5;AVAILABLE;2006/10/13;129;6;4;430
GCYK7Y;Vigia do Soutelo;COIMBRA;ToMarta;40.224217;-8.308117;TRADITIONAL;REGULAR;2;2;AVAILABLE;2006/09/30;154;5;0;-9999999
GC17620;Parque dos Moutidos;PORTO;My Greenway Tours;41.213433;-8.570183;TRADITIONAL;MICRO;1;1.5;AVAILABLE;2007/04/11;423;7;3;-9999999
GCTC0T;Historical Villages - Almeida;GUARDA;Blue_Trekkers;40.727883;-6.9066;TRADITIONAL;SMALL;2;2;AVAILABLE;2006/02/07;621;25;23;749
GC14VBW;A Aldeia Abandonada do Funcho [Silves];FARO;clcortez;37.268883;-8.370783;TRADITIONAL;REGULAR;2;1.5;AVAILABLE;2007/09/09;333;1;35;97
GCT68J;Senhora da Luz;LEIRIA;nunaum;39.685183;-8.884;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2006/01/27;552;23;14;120
GCPRK6;Parque Natural de S. Matias;VISEU;jorgeconceicao;40.795;-7.661967;TRADITIONAL;REGULAR;1;2;AVAILABLE;2005/07/17;79;2;4;719
GC17460;Cabo Raso - Farois de Portugal;LISBOA;zepe_ly;38.70955;-9.48585;TRADITIONAL;SMALL;1;1.5;AVAILABLE;2007/11/01;1294;16;17;0
GC145CT;Olha os Passarinhos !!! [Lagoa de Obidos];LEIRIA;McPenha;39.399583;-9.1868;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/07/06;391;6;5;5
GC1220J;Aldeia Subaquatica [Vilarinho das Furnas - Geres];BRAGA;jcr;41.779667;-8.198317;TRADITIONAL;SMALL;3.5;3;AVAILABLE;2007/04/09;511;42;65;566
GC126T1;Cavalo de Ferro [Entroncamento];SANTAREM;mtrevas;39.465467;-8.471167;TRADITIONAL;SMALL;3.5;2.5;AVAILABLE;2007/04/15;424;54;132;38
GC16K7J;Da Oliveira a Penha II [Guimaraes];BRAGA;hfilipe;41.445583;-8.292517;MULTI;REGULAR;2.5;2;AVAILABLE;2006/04/30;249;13;12;205
GC16B2G;Espigueiros de Soajo;VIANA DO CASTELO;Fernando Rei;41.872217;-8.262517;MULTI;SMALL;3;2;AVAILABLE;2007/09/30;181;20;31;282
GC141XD;Moinho das Doze Pedras;COIMBRA;Tres Marias;40.114032;-8.817144;TRADITIONAL;REGULAR;2;2;AVAILABLE;2007/07/01;254;7;6;6
GC150DG;A ver estrelas...;PORTO;p@Che;41.149983;-8.638783;PUZZLE;REGULAR;2.5;3;AVAILABLE;2007/09/11;265;8;6;-9999999
GCJJBV;A View To The West [Mafra];LISBOA;Bargao_Henriques;38.995983;-9.425133;TRADITIONAL;REGULAR;2;3;AVAILABLE;2004/05/29;505;7;19;15
GC1563P;MOSTEIRO DE CETE;PORTO;eterlusitano;41.180367;-8.366517;TRADITIONAL;SMALL;2;1;AVAILABLE;2007/08/15;350;17;3;153
GC10V1Z;A Grande Castanheira [Vinhais];BRAGANCA;Pinaster;41.8605;-7.026033;MULTI;SMALL;1.5;1.5;AVAILABLE;2007/02/08;78;1;4;818
GC16XN1; Potholes - who dunnit? - DP/EC13;BRAGANCA;danieloliveira;41.890417;-6.933983;EARTHCACHE;NOT_CHOSEN;1;1;AVAILABLE;2007/10/23;74;0;3;660
GCV4HP;Era uma vez... na Serra da Boa Viagem;COIMBRA;rifkindsss;40.192967;-8.882983;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2006/03/29;669;67;5;238
GCRGDY;BH21 Les Aventures de Tintin [Lisboa];LISBOA;prodrive;38.727583;-9.2271;TRADITIONAL;SMALL;1;2;AVAILABLE;2005/11/29;633;18;20;-9999999
GCYNHZ;Cinco Quinas [Sabugal];GUARDA;pipl;40.351483;-7.094733;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2006/10/04;467;7;4;746
GC10YAH;Serra do Caldeirao [S.B. Alportel];FARO;Torgut;37.211633;-7.893733;MULTI;REGULAR;3;3;AVAILABLE;2007/02/19;50;8;7;463
GCPR5F;Castelo e Meio;COIMBRA;maillart;40.031533;-8.389867;MULTI;REGULAR;2;2.5;AVAILABLE;2005/07/17;220;52;16;264
GC16Q0V;Capela dos Ossos (Evora);EVORA;tirapicos team;38.568783;-7.9091;TRADITIONAL;MICRO;2.5;1.5;AVAILABLE;2007/10/14;2114;118;26;284
GC14Z6Y;VISTAS DE S. DOMINGOS ;AVEIRO;eterlusitano;41.0271;-8.351633;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/08/06;152;15;12;390
GCF83C;A fronteira de Baixo [Castro Laboreiro];VIANA DO CASTELO;rob_geo;41.94855;-8.184467;TRADITIONAL;REGULAR;2;2.5;AVAILABLE;2003/04/12;88;7;11;571
GC164Z9;TP65- E tudo o vento levou [Cabeco de Montachique];LISBOA;btrodrigues;38.898417;-9.194083;TRADITIONAL;SMALL;1.5;3;AVAILABLE;2007/09/23;592;21;45;-9999999
GCVCCN;Fontes de Estombar (Lagoa);FARO;Psipsina;37.163567;-8.4873;TRADITIONAL;REGULAR;2;1.5;AVAILABLE;2006/04/12;646;11;20;10
GC15CA6;SR. DO CASTELO ;PORTO;eterlusitano;41.23475;-8.029967;TRADITIONAL;MICRO;2;2.5;AVAILABLE;2007/08/24;71;3;3;488
GC142TP;Lucky Key;PORTO;kidloco;41.193017;-8.707117;PUZZLE;SMALL;3.5;1.5;AVAILABLE;2007/07/03;360;14;6;4
GC14XPA;Oasis no Alentejo [Galveias];PORTALEGRE;RobinWood23;39.1572;-7.992583;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/08/05;214;0;0;224
